project_id,legacy_ocms_code,project_name,agency,state,date_of_approval,start_date,original_completion_date,revised_completion_date,original_cost,revised_cost,expenditure,physical_progress
611943,N22000550,New Broad Gauge line between Naliya to Jakhau Port,Western Railway [WR] - II,Gujarat,02/2023,02/2023,01/2028,06/2027,410.26,410.26,10.04,5
611945,N22000538,Petlad Bhadran 23 Kms,Western Railway,Gujarat,05/2022,05/2022,05/2030,05/2030,307.11,307.11,14.2,17
611970,N22000540,Samlaya Timba Road 54 km,PCE/WR,Gujarat,02/2023,02/2023,03/2030,03/2030,670.17,670.17,45.21,12
611971,N22000541,Samni Jambusar 24 km,PCE/WR,Gujarat,05/2022,05/2022,03/2030,03/2030,350,349.93,71.05,31
611974,,Western Railway Samakhiali Gandhidham Quadrupiling 53 Kms,Western Railway [WR] - II,Gujarat,08/2023,08/2023,12/2026,12/2027,1430,1430,407.94,35
611977,,Dahod Creation of Infrastructure facilities for 9000 HP Electric locomotives Manufacturing  at,PCE/WR,Gujarat,05/2022,02/2023,02/2025,-,487,487,222.88,53
611978,,Dahod Rolling Stock Workshop Provision of Infrastructure for CBS at,PCE/WR,Gujarat,11/2022,03/2023,03/2025,-,158,158,51.87,10
611979,,Sabarmati  Setting up of Maintenance Facilities for Train Sets Phase ii,Western Railway [WR] - II,Gujarat,01/2023,04/2023,06/2025,05/2026,250,250,134.97,88
612072,N22000532,4th LINE BETWEEN BAREJADI NANDEJ-SANAND-AHMEDABAD BYPASS,Western Railway WR - II,Gujarat,02/2023,02/2023,03/2027,07/2028,961.67,961.67,496.02,21
613786,,"Redevelopment of Ahmedabad railway station and associated infrastructure on engineering, procurement and construction mode",Rail Land Development Authority,Gujarat,01/2023,11/2023,03/2028,-,2379,2379,913.54,29.7
618972,,Devbhumi Dwarka [Okha] - Kanalus Doubling,Western Railway [WR] - II,Gujarat,12/2025,12/2025,12/2028,-,1456.77,1456.77,0,0
705458,N22000142,Miyagam-Karjan-Dabhoi-Samlaya [GC],Western Railway [WR] - II,Gujarat,01/2017,01/2017,03/2021,12/2026,483.88,1039.13,654.38,42
706757,N22000622,Modasa-Shamlaji Road Railway Line Project,Western Railway WR - II,Gujarat,09/2012,04/2008,03/2025,03/2026,262,262,365.22,64
706763,N22000535,Rajkot - Kanalus Doubling Project [111.2 Kms],Western Railway WR - II,Gujarat,10/2021,12/2021,10/2026,06/2026,1080.58,1080.58,916.33,81
709812,N22000539,NADIAD-PETLAD [37.26 KM],Railway,Gujarat,05/2022,10/2023,06/2030,06/2030,461.91,461.91,178.78,8
709813,N22000551,NEW BG LINE INTERSECTION [5 NOS] BETWEEN GERATPUR-SANAND & BOTAD-AHMEDABAD [16.51 KM],Western Railway [WR] - II,Gujarat,10/2022,07/2025,06/2028,10/2027,437.21,437.21,116.06,21
611884,N22000604,Bhiwani - Dobh Bahali Doubling Project [42.30 Km],North Western Railway [NWR],Haryana,02/2023,02/2023,02/2028,02/2028,471,471,250.47,72
617372,,Doubling between Pradhankunta-Patherih-Bhojudih of East Central Railway,East Central Railway [ECR] - I,Jharkhand,11/2022,11/2022,12/2025,03/2026,349.22,349.22,119.69,71.2
617832,,Koderma-Arigada Doubling 133.38 Km of East Central Railway,East Central Railway [ECR] - I,Jharkhand,06/2025,06/2025,12/2029,-,2887.11,2887.11,0,0
705765,N22000611,Gomoh - Flyover for DN trains,East Central Railway [ECR] - I,Jharkhand,01/2018,01/2018,03/2026,03/2026,686,686,621.98,66
705785,N22000508,Lodhma - Piska - Link Line bypassing Hatia/Ranchi with Y connection,South Eastern Railway [SER] - I,Jharkhand,08/2021,03/2019,06/2026,05/2027,473,473,302.69,5
706837,N22000529,Pradhan Kuntha Jn Line Doubling Project,East Central Railway [ECR] - I,Jharkhand,11/2022,11/2022,11/2027,11/2027,349.22,349.22,119.69,71.2
400023,N22000558,Construction of New BG line between Hassan to Belur [27 Km],South Western Railway [SWR] - II,Karnataka,03/2019,12/2025,04/2028,04/2027,749,749,0.94,0.3
703585,N22000543,Yeshvanthpur - Channasandra Doubling Project [21.70 Km],Karnataka Rail Infrastructure Development Company Limited [K-RIDE],Karnataka,04/2019,10/2019,03/2024,03/2026,314.1,683.57,169.1,56
705434,,New Railway Line between Ginigera and Raichur [165.57 km],South Western Railway [SWR] - II,Karnataka,03/2008,05/2009,03/2019,03/2027,2565,3034.98,2247.23,70
705490,N22000299,Gadag-Wadi New Railway Line [257 km],South Western Railway [SWR] - II,Karnataka,04/2013,08/2017,03/2027,12/2027,2842,6700,1513.54,34
705492,N22000486,Kadur - Chickamagalur - Sakleshpur [93km],South Western Railway [SWR] - II,Karnataka,01/2014,11/2016,06/2025,12/2025,825,825,760.05,84
705495,N22000258,Bagalkot-Kudachi New Railway Line [142 km],South Western Railway [SWR] - II,Karnataka,10/2013,11/2012,03/2027,01/2027,1378,1649,783.19,35.8
705496,N22000256,Tumkur-Chitradurga-Davangere New Rail Line Project [191 km],South Western Railway [SWR] - II,Karnataka,10/2013,01/2017,03/2019,12/2027,1876,1876,543.22,15
705663,N22000621,Bangalore-Whitefield-Bangalore City-Krishnarajapuram [23.08 km] - Quadrupling,South Western Railway [SWR] - II,Karnataka,02/2018,06/2022,02/2026,02/2026,493,493,297.52,85
705761,N22000559,SHIMOGA - SHIKARIPURA - RANEBENNUR [96 Km],South Western Railway [SWR] - II,Karnataka,09/2019,02/2023,12/2027,06/2028,1454,1454,87.13,13
705941,,Bangalore Suburban Railway Project,Karnataka Rail Infrastructure Development Company Limited [K-RIDE],Karnataka,10/2020,10/2020,12/2026,03/2030,15767,15767,3182.59,19.85
706835,N22000557,Belgaum-Dharwad via Kittur [73.10Km],South Western Railway [SWR] - II,Karnataka,09/2020,03/2025,12/2027,03/2029,1591,1591,0.38,0
705638,N22000620,Kumbalam-Turavur doubling project [15.59 Km],Ministry of Railways,Kerala,04/2023,04/2023,03/2027,03/2027,813,802.8,101.22,30
705639,N22000619,Ernakulam-Kumbalam doubling project [7.71 Km],SR-ERS,Kerala,04/2023,04/2023,03/2028,02/2027,601,595.39,300.61,24.5
705480,220100232,"Lalitpur-Satna, Rewa-Singrauli & Mahoba-Khajuraho",North Central Railway,Madhya Pradesh,01/2007,03/1998,03/2027,12/2027,8914,8914,6777.67,74
705659,N22000554,Satna-Rewa Railway Line Doubling Project,West Central Railway [WCR] - II,Madhya Pradesh,11/2015,08/2017,03/2026,03/2026,500,584,563.03,86
705660,N22000351,Doubling of Katni - Singrauli Railway Line [261 km],Indian Railway Construction International Limited [IRCON],Madhya Pradesh,03/2016,03/2017,12/2025,12/2025,2445,4377,3306.78,81
705661,N22000416,Katni Grade Separator/Bye Pass,Indian Railway Construction International Limited [IRCON],Madhya Pradesh,03/2016,09/2017,09/2024,09/2026,1248,1248,1810.01,95
705763,N22000601,Indore - Budni New Railway Line [198 kms],RVNL - II,Madhya Pradesh,08/2019,10/2020,09/2030,09/2030,7474,7474,2529.03,35
705933,N22000536,Nimach-Ratlam Doubling [133 Km],Western Railway [WR] - II,Madhya Pradesh,10/2021,10/2021,10/2027,10/2027,1095.88,1095.88,1284.91,94
400019,N22000514,DHULE [BORVIHIR] - NARDANA NEW LINE [50.60 KMS],Central Railway,Maharashtra,01/2019,04/2023,12/2026,09/2027,492.76,1170.83,480.92,25
400271,N22000231,Wardha-Nanded Via Yavatmal New BG Line,Central Railway [CR] - II,Maharashtra,12/2017,04/2008,03/2025,12/2026,3445,3445,3002.93,50
611751,,AURANGABAD-ANKAI - DOUBLING PROJECT 98.25 Km,South Central Railway [SCR] - II,Maharashtra,05/2023,05/2023,03/2027,-,960.64,960.64,1281.74,2.01
613015,,Redevelopment of Chhatrapati Shivaji Maharaj Terminus [CSMT] and construction of associated infrastructure,Rail Land Development Authority,Maharashtra,04/2023,07/2023,03/2027,-,1813,1813,809.23,21
